q3, r, c, 16, 43690, 4, 157268
q3, r, h, 16, 43690, 4, 136780
q3, d, -, 16, 43690, 4, 112853
q3, r, c, 16, 43690, 4, 103085
q3, r, h, 16, 43690, 4, 102260
q3, d, -, 16, 43690, 4, 136266
q3, r, c, 16, 43690, 4, 103119
q3, r, h, 16, 43690, 4, 101972
q3, d, -, 16, 43690, 4, 112704
q3, r, c, 16, 43690, 4, 103120
q3, r, h, 16, 43690, 4, 104931
q3, d, -, 16, 43690, 4, 112719
q3, r, c, 16, 43690, 4, 103067
q3, r, h, 16, 43690, 4, 105805
q3, d, -, 16, 43690, 4, 117752
q3, r, c, 16, 43690, 4, 107787
q3, r, h, 16, 43690, 4, 102120
q3, d, -, 16, 43690, 4, 112817
q3, r, c, 16, 43690, 4, 103077
q3, r, h, 16, 43690, 4, 102071
q3, d, -, 16, 43690, 4, 115036
q3, r, c, 16, 43690, 4, 105373
q3, r, h, 16, 43690, 4, 102188
q3, d, -, 16, 43690, 4, 112707
q3, r, c, 16, 43690, 4, 103059
q3, r, h, 16, 43690, 4, 102176
q3, d, -, 16, 43690, 4, 132096
q3, r, c, 16, 43690, 4, 105772
q3, r, h, 16, 43690, 4, 102125
q3, d, -, 16, 43690, 4, 112771
q3, r, c, 32, 43690, 4, 103062
q3, r, h, 32, 43690, 4, 102072
q3, d, -, 32, 43690, 4, 118734
q3, r, c, 32, 43690, 4, 106162
q3, r, h, 32, 43690, 4, 101995
q3, d, -, 32, 43690, 4, 116768
q3, r, c, 32, 43690, 4, 103094
q3, r, h, 32, 43690, 4, 102069
q3, d, -, 32, 43690, 4, 119287
q3, r, c, 32, 43690, 4, 140784
q3, r, h, 32, 43690, 4, 102116
q3, d, -, 32, 43690, 4, 116653
q3, r, c, 32, 43690, 4, 103112
q3, r, h, 32, 43690, 4, 104600
q3, d, -, 32, 43690, 4, 116921
q3, r, c, 32, 43690, 4, 103077
q3, r, h, 32, 43690, 4, 102075
q3, d, -, 32, 43690, 4, 119023
q3, r, c, 32, 43690, 4, 103094
q3, r, h, 32, 43690, 4, 101866
q3, d, -, 32, 43690, 4, 116782
q3, r, c, 32, 43690, 4, 103074
q3, r, h, 32, 43690, 4, 102265
q3, d, -, 32, 43690, 4, 116865
q3, r, c, 32, 43690, 4, 103063
q3, r, h, 32, 43690, 4, 102120
q3, d, -, 32, 43690, 4, 120712
q3, r, c, 32, 43690, 4, 103063
q3, r, h, 32, 43690, 4, 104632
q3, d, -, 32, 43690, 4, 116716
q3, r, c, 64, 43690, 4, 103106
q3, r, h, 64, 43690, 4, 101929
q3, d, -, 64, 43690, 4, 200723
q3, r, c, 64, 43690, 4, 103083
q3, r, h, 64, 43690, 4, 101925
q3, d, -, 64, 43690, 4, 132607
q3, r, c, 64, 43690, 4, 103087
q3, r, h, 64, 43690, 4, 105903
q3, d, -, 64, 43690, 4, 129972
q3, r, c, 64, 43690, 4, 103065
q3, r, h, 64, 43690, 4, 102366
q3, d, -, 64, 43690, 4, 129633
q3, r, c, 64, 43690, 4, 114836
q3, r, h, 64, 43690, 4, 102118
q3, d, -, 64, 43690, 4, 129892
q3, r, c, 64, 43690, 4, 103075
q3, r, h, 64, 43690, 4, 102153
q3, d, -, 64, 43690, 4, 148325
q3, r, c, 64, 43690, 4, 103054
q3, r, h, 64, 43690, 4, 102133
q3, d, -, 64, 43690, 4, 129886
q3, r, c, 64, 43690, 4, 106696
q3, r, h, 64, 43690, 4, 102495
q3, d, -, 64, 43690, 4, 129653
q3, r, c, 64, 43690, 4, 103099
q3, r, h, 64, 43690, 4, 104438
q3, d, -, 64, 43690, 4, 129827
q3, r, c, 64, 43690, 4, 106268
q3, r, h, 64, 43690, 4, 103718
q3, d, -, 64, 43690, 4, 130080
q3, r, c, 128, 43690, 4, 103087
q3, r, h, 128, 43690, 4, 102094
q3, d, -, 128, 43690, 4, 141985
q3, r, c, 128, 43690, 4, 103103
q3, r, h, 128, 43690, 4, 102899
q3, d, -, 128, 43690, 4, 142818
q3, r, c, 128, 43690, 4, 103068
q3, r, h, 128, 43690, 4, 102304
q3, d, -, 128, 43690, 4, 141825
q3, r, c, 128, 43690, 4, 103083
q3, r, h, 128, 43690, 4, 102118
q3, d, -, 128, 43690, 4, 167418
q3, r, c, 128, 43690, 4, 103088
q3, r, h, 128, 43690, 4, 107543
q3, d, -, 128, 43690, 4, 139826
q3, r, c, 128, 43690, 4, 106453
q3, r, h, 128, 43690, 4, 102328
q3, d, -, 128, 43690, 4, 139974
q3, r, c, 128, 43690, 4, 106408
q3, r, h, 128, 43690, 4, 102123
q3, d, -, 128, 43690, 4, 140393
q3, r, c, 128, 43690, 4, 106153
q3, r, h, 128, 43690, 4, 102128
q3, d, -, 128, 43690, 4, 140245
q3, r, c, 128, 43690, 4, 103068
q3, r, h, 128, 43690, 4, 102101
q3, d, -, 128, 43690, 4, 139817
q3, r, c, 128, 43690, 4, 103091
q3, r, h, 128, 43690, 4, 102041
q3, d, -, 128, 43690, 4, 140155
q3, r, c, 256, 43690, 4, 103078
q3, r, h, 256, 43690, 4, 104640
q3, d, -, 256, 43690, 4, 162083
q3, r, c, 256, 43690, 4, 103081
q3, r, h, 256, 43690, 4, 101860
q3, d, -, 256, 43690, 4, 163591
q3, r, c, 256, 43690, 4, 107307
q3, r, h, 256, 43690, 4, 102160
q3, d, -, 256, 43690, 4, 162242
q3, r, c, 256, 43690, 4, 103101
q3, r, h, 256, 43690, 4, 102177
q3, d, -, 256, 43690, 4, 164173
q3, r, c, 256, 43690, 4, 103066
q3, r, h, 256, 43690, 4, 102350
q3, d, -, 256, 43690, 4, 161998
q3, r, c, 256, 43690, 4, 106753
q3, r, h, 256, 43690, 4, 102312
q3, d, -, 256, 43690, 4, 162637
q3, r, c, 256, 43690, 4, 103134
q3, r, h, 256, 43690, 4, 105262
q3, d, -, 256, 43690, 4, 164760
q3, r, c, 256, 43690, 4, 103113
q3, r, h, 256, 43690, 4, 102009
q3, d, -, 256, 43690, 4, 165282
q3, r, c, 256, 43690, 4, 103070
q3, r, h, 256, 43690, 4, 104904
q3, d, -, 256, 43690, 4, 161914
q3, r, c, 256, 43690, 4, 103070
q3, r, h, 256, 43690, 4, 102037
q3, d, -, 256, 43690, 4, 163841
