bench, mem, temp, row_size, row_count, col_width, offset, cycles, l2_total
q1, d, c, 64, 32768, 1, 0, 43865, 1117
q1, d, c, 64, 32768, 1, 0, 43847, 1107
q1, d, c, 64, 32768, 1, 0, 45477, 1806
q1, d, c, 64, 32768, 1, 0, 43848, 1099
q1, d, c, 64, 32768, 1, 0, 43863, 1107
q1, d, c, 64, 32768, 1, 0, 43854, 1102
q1, d, c, 64, 32768, 1, 0, 43877, 1094
q1, d, c, 64, 32768, 1, 0, 43865, 1106
q1, d, c, 64, 32768, 1, 0, 43867, 1107
q1, d, c, 64, 32768, 1, 0, 43853, 1098
q1, d, c, 64, 32768, 1, 0, 43878, 1109
q1, d, c, 64, 32768, 1, 0, 43851, 1105
q1, d, c, 64, 32768, 1, 0, 43851, 1113
q1, d, c, 64, 32768, 1, 0, 43859, 1098
q1, d, c, 64, 32768, 1, 0, 43858, 1109
q1, d, c, 64, 32768, 1, 0, 43856, 1109
q1, d, c, 64, 32768, 1, 0, 43852, 1097
q1, d, c, 64, 32768, 1, 0, 43859, 1097
q1, d, c, 64, 32768, 1, 0, 43878, 1117
q1, d, c, 64, 32768, 1, 0, 43853, 1103
q1, d, c, 64, 32768, 1, 0, 43850, 1124
q1, d, c, 64, 32768, 1, 0, 43870, 1095
q1, d, c, 64, 32768, 1, 0, 45995, 1847
q1, d, c, 64, 32768, 1, 0, 43852, 1104
q1, d, c, 64, 32768, 1, 0, 43838, 1095
q1, d, c, 64, 32768, 1, 0, 43856, 1092
q1, d, c, 64, 32768, 1, 0, 43847, 1110
q1, d, c, 64, 32768, 1, 0, 43850, 1112
q1, d, c, 64, 32768, 1, 0, 43848, 1111
q1, d, c, 64, 32768, 1, 0, 43851, 1115
q1, d, c, 64, 32768, 2, 0, 49535, 2122
q1, d, c, 64, 32768, 2, 0, 49426, 2128
q1, d, c, 64, 32768, 2, 0, 49440, 2139
q1, d, c, 64, 32768, 2, 0, 49419, 2129
q1, d, c, 64, 32768, 2, 0, 49419, 2124
q1, d, c, 64, 32768, 2, 0, 49488, 2139
q1, d, c, 64, 32768, 2, 0, 49416, 2142
q1, d, c, 64, 32768, 2, 0, 49532, 2149
q1, d, c, 64, 32768, 2, 0, 50883, 2823
q1, d, c, 64, 32768, 2, 0, 49417, 2139
q1, d, c, 64, 32768, 2, 0, 49425, 2144
q1, d, c, 64, 32768, 2, 0, 50912, 2792
q1, d, c, 64, 32768, 2, 0, 49430, 2130
q1, d, c, 64, 32768, 2, 0, 49427, 2136
q1, d, c, 64, 32768, 2, 0, 49424, 2166
q1, d, c, 64, 32768, 2, 0, 51322, 2954
q1, d, c, 64, 32768, 2, 0, 49435, 2147
q1, d, c, 64, 32768, 2, 0, 49547, 2138
q1, d, c, 64, 32768, 2, 0, 49559, 2121
q1, d, c, 64, 32768, 2, 0, 51276, 2923
q1, d, c, 64, 32768, 2, 0, 51119, 2866
q1, d, c, 64, 32768, 2, 0, 50849, 2758
q1, d, c, 64, 32768, 2, 0, 50968, 2864
q1, d, c, 64, 32768, 2, 0, 49432, 2131
q1, d, c, 64, 32768, 2, 0, 49416, 2121
q1, d, c, 64, 32768, 2, 0, 49427, 2153
q1, d, c, 64, 32768, 2, 0, 49428, 2119
q1, d, c, 64, 32768, 2, 0, 49423, 2126
q1, d, c, 64, 32768, 2, 0, 49428, 2129
q1, d, c, 64, 32768, 2, 0, 49427, 2147
q1, d, c, 64, 32768, 4, 0, 49638, 4191
q1, d, c, 64, 32768, 4, 0, 49645, 4188
q1, d, c, 64, 32768, 4, 0, 49651, 4201
q1, d, c, 64, 32768, 4, 0, 49651, 4186
q1, d, c, 64, 32768, 4, 0, 49640, 4216
q1, d, c, 64, 32768, 4, 0, 49641, 4205
q1, d, c, 64, 32768, 4, 0, 49637, 4190
q1, d, c, 64, 32768, 4, 0, 49638, 4183
q1, d, c, 64, 32768, 4, 0, 49675, 4209
q1, d, c, 64, 32768, 4, 0, 49625, 4193
q1, d, c, 64, 32768, 4, 0, 49689, 4194
q1, d, c, 64, 32768, 4, 0, 49639, 4173
q1, d, c, 64, 32768, 4, 0, 53280, 5511
q1, d, c, 64, 32768, 4, 0, 49644, 4191
q1, d, c, 64, 32768, 4, 0, 49646, 4195
q1, d, c, 64, 32768, 4, 0, 49695, 4171
q1, d, c, 64, 32768, 4, 0, 49653, 4178
q1, d, c, 64, 32768, 4, 0, 49643, 4206
q1, d, c, 64, 32768, 4, 0, 49641, 4198
q1, d, c, 64, 32768, 4, 0, 49656, 4209
q1, d, c, 64, 32768, 4, 0, 49694, 4197
q1, d, c, 64, 32768, 4, 0, 49638, 4199
q1, d, c, 64, 32768, 4, 0, 49641, 4213
q1, d, c, 64, 32768, 4, 0, 49655, 4201
q1, d, c, 64, 32768, 4, 0, 49714, 4202
q1, d, c, 64, 32768, 4, 0, 49639, 4191
q1, d, c, 64, 32768, 4, 0, 49645, 4197
q1, d, c, 64, 32768, 4, 0, 51671, 4901
q1, d, c, 64, 32768, 4, 0, 49701, 4209
q1, d, c, 64, 32768, 4, 0, 49692, 4187
q1, d, c, 64, 32768, 8, 0, 50100, 8294
q1, d, c, 64, 32768, 8, 0, 50090, 8288
q1, d, c, 64, 32768, 8, 0, 50111, 8300
q1, d, c, 64, 32768, 8, 0, 50115, 8268
q1, d, c, 64, 32768, 8, 0, 50110, 8288
q1, d, c, 64, 32768, 8, 0, 50088, 8292
q1, d, c, 64, 32768, 8, 0, 50135, 8297
q1, d, c, 64, 32768, 8, 0, 50096, 8328
q1, d, c, 64, 32768, 8, 0, 50115, 8321
q1, d, c, 64, 32768, 8, 0, 50105, 8305
q1, d, c, 64, 32768, 8, 0, 50114, 8297
q1, d, c, 64, 32768, 8, 0, 52071, 9110
q1, d, c, 64, 32768, 8, 0, 50109, 8284
q1, d, c, 64, 32768, 8, 0, 50124, 8278
q1, d, c, 64, 32768, 8, 0, 50074, 8285
q1, d, c, 64, 32768, 8, 0, 50120, 8318
q1, d, c, 64, 32768, 8, 0, 50093, 8282
q1, d, c, 64, 32768, 8, 0, 50105, 8295
q1, d, c, 64, 32768, 8, 0, 50128, 8311
q1, d, c, 64, 32768, 8, 0, 50110, 8301
q1, d, c, 64, 32768, 8, 0, 50110, 8302
q1, d, c, 64, 32768, 8, 0, 50092, 8298
q1, d, c, 64, 32768, 8, 0, 50099, 8292
q1, d, c, 64, 32768, 8, 0, 50105, 8294
q1, d, c, 64, 32768, 8, 0, 50085, 8310
q1, d, c, 64, 32768, 8, 0, 50132, 8296
q1, d, c, 64, 32768, 8, 0, 50090, 8284
q1, d, c, 64, 32768, 8, 0, 52546, 9155
q1, d, c, 64, 32768, 8, 0, 50113, 8297
q1, d, c, 64, 32768, 8, 0, 50090, 8305
q1, d, c, 64, 32768, 16, 0, 53908, 16500
q1, d, c, 64, 32768, 16, 0, 53949, 16522
q1, d, c, 64, 32768, 16, 0, 53968, 16544
q1, d, c, 64, 32768, 16, 0, 54064, 16532
q1, d, c, 64, 32768, 16, 0, 53969, 16519
q1, d, c, 64, 32768, 16, 0, 53910, 16498
q1, d, c, 64, 32768, 16, 0, 53879, 16496
q1, d, c, 64, 32768, 16, 0, 53921, 16533
q1, d, c, 64, 32768, 16, 0, 53880, 16482
q1, d, c, 64, 32768, 16, 0, 54031, 16523
q1, d, c, 64, 32768, 16, 0, 53989, 16521
q1, d, c, 64, 32768, 16, 0, 53964, 16518
q1, d, c, 64, 32768, 16, 0, 53928, 16509
q1, d, c, 64, 32768, 16, 0, 54066, 16505
q1, d, c, 64, 32768, 16, 0, 53891, 16480
q1, d, c, 64, 32768, 16, 0, 53964, 16492
q1, d, c, 64, 32768, 16, 0, 53996, 16507
q1, d, c, 64, 32768, 16, 0, 56533, 17299
q1, d, c, 64, 32768, 16, 0, 53987, 16514
q1, d, c, 64, 32768, 16, 0, 53955, 16502
q1, d, c, 64, 32768, 16, 0, 53933, 16509
q1, d, c, 64, 32768, 16, 0, 54039, 16511
q1, d, c, 64, 32768, 16, 0, 53950, 16525
q1, d, c, 64, 32768, 16, 0, 53966, 16504
q1, d, c, 64, 32768, 16, 0, 53947, 16512
q1, d, c, 64, 32768, 16, 0, 54029, 16522
q1, d, c, 64, 32768, 16, 0, 54010, 16499
q1, d, c, 64, 32768, 16, 0, 54019, 16545
q1, d, c, 64, 32768, 16, 0, 53943, 16484
q1, d, c, 64, 32768, 16, 0, 53864, 16496
